CS 551,Introduction to Automata Theory and Computability,Shrisha Rao,309,"MON(11:15-12:45), WED(11:15-12:45)"
CS/DS 601,Theory of Computation,G. Srinivasa Raghavan/Meenakshi D'Souza,106,"MON(11:15-12:45),WED(11:15-12:45)"
CS 604,Artificial Inteligence,Shrisha Rao,102,"TUE(11:15-12:45), THU(11:15-12:45)"
DS 608,Network Science for the web,Srinath Srinivasa,133,"TUE(14:00-15:30), TUE(15:30-17:00)"
CS 606,Computer Graphics,Jaya Sreevalsan Nair/T K Srikanth,132,"TUE(14:00-15:30), THU(14:00-15:30)"
CS/DS 704,Multi-Agent Systems,Srinath Srinivasa,133,"FRI(14:00-15:30), FRI(15:30-17:00)"
CS/DS 812,Foundations for Big Data Algorithms,G. Srinivasa Raghavan,106,"TUE(09:30-11:00), THU(09:30-11:00)"
CS/NC 813,Foundations of Cryptography,Ashish Choudhury,132,"MON(09:30-11:00), WED(09:30-11:00)"
CS 814,Competative Programming,T K Srikanth/G. Srinivasa Raghavan/Ashish Choudhury/Muralidhara V N,102,"FRI(14:00-15:30), SAT(11:15-12:45)"
CS/NC 854,Digital Image Processing,Dinesh J/Neelam Sinha,132,"MON(11:15-12:45), WED(11:15-12:45)"
DS/SE 603,Data Modeling,Chandrashekar Ramanathan,106,"MON(09:30-11:00), WED(09:30-11:00)"
DS/NC 615,Techno-Economics of Networks,V Sridhar,132,"MON(15:30-17:00), THU(15:30-17:00)"
DS 815,Cloud Computing and Big Data in Practice,Saikat Mukherjee,106,"SAT(14:00-15:30), SAT(15:30-17:00)"
SE 510,Software Engineering Practices,L T Jay Prakash,106,"MON(14:00-15:30), FRI(11:15-12:45)"
SE 601,OOAD UML and Intro to Web 2.0,Dinesha K V,106,"THU(15:30-17:00), SAT(09:30-11:00)"
SE 602,Software Testing,Sujit Kumar Chakrabarti/Meenakshi D'Souza,133,"TUE(11:15-12:45), THU(11:15-12:45)"
NC 601,Wireless Access Networks,Debabrata Das,102,"MON(09:30-11:00), WED(09:30-11:00)"
NC 812/ESD 812,Internet of Things,Jyotsna Bapat/Debabrata Das,102,"TUE(09:30-11:00), THU(09:30-11:00)"
NC 603/ESD 608,Digital Signal Processing,P G Poonacha,103,"TUE(11:15-12:45), THU(11:15-12:45)"
ESD 605,Semiconductor Device Physics,Madhav Rao,310,"TUE(09:30-11:00), THU(09:30-11:00)"
ESD 711,Deep submicron design issues,Srinath R Naidu,310,"TUE(11:15-12:45), THU(11:15-12:45)"
ESD 704,Mixed-signal VLSI Circuit Design,Subhajit Sen,310,"MON(09:30-11:00), WED(09:30-11:00)"
NC 805,Digital Technologies for Healthcare,Subhajit Sen/Balwant Godara,102,"THU(14:00-15:30), FRI(09:30-11:00)"
ESD 602,High Level Synthesis and Optimization of Digital Circuits,Subir Roy,310,"MON(15:30-17:00), THU(15:30-17:00)"
ESD 601,Testing and Design For Testability,Subir Roy,310,"TUE(14:00-15:30), FRI(14:00-15:30)"
ESD 607/NCE 801,Inter device communication,Joy Prabhakaran,102,"TUE(15:30-17:00), FRI(15:30-17:00)"
ITS 601,Dynamics of the Information Technology Industry,Balaji Parthasarathy,103,"TUE(14:00-15:30), TUE(15:30-17:00)"
GEN 601,Introduction to Scientific Computing,Jaya Sreevalsan Nair,132,"TUE(11:15-12:45), THU(11:15-12:45)"
GEN 602,Introduction to Nonlinear Dynamical Systems,Balakrishnan Ashok,132,"TUE(15:30-17:00), THU(14:00-15:30)"
